,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Akdepe,42.0551,59.3788,37.4,65,0,11.5,TM,1612975048
1,Sept-Îles,50.2001,-66.3821,12.99,44,20,13.8,CA,1612974842
2,Atuona,-9.8,-139.0333,78.93,77,6,20.31,PF,1612975051
3,Maragogi,-9.0122,-35.2225,83.86,69,74,13.38,BR,1612975052
4,Monastyrshchina,54.3496,31.838,0.91,93,92,7.25,RU,1612975053
5,Port Elizabeth,-33.918,25.5701,78.8,73,20,11.5,ZA,1612974827
6,Hermanus,-34.4187,19.2345,79.0,63,0,8.01,ZA,1612975055
7,Rikitea,-23.1203,-134.9692,78.21,75,64,9.69,PF,1612974803
8,Mana,5.6592,-53.7767,81.84,65,100,9.28,GF,1612975058
9,Novobureyskiy,49.798,129.8774,-1.28,91,65,1.36,RU,1612975059
10,Neyshabur,36.2133,58.7958,52.79,41,1,2.86,IR,1612975060
11,Covington,39.0837,-84.5086,21.2,73,90,8.05,US,1612975061
12,Mingguang,32.7802,117.9638,48.54,75,100,7.47,CN,1612975062
13,Thompson,55.7435,-97.8558,-36.4,67,75,2.3,CA,1612975063
14,Narsaq,60.9167,-46.05,32.0,25,20,26.46,GL,1612974839
15,Ulaangom,49.9811,92.0667,2.23,72,0,3.56,MN,1612975066
16,Souillac,-20.5167,57.5167,80.6,74,40,9.22,MU,1612975067
17,East London,-33.0153,27.9116,78.8,83,20,11.5,ZA,1612974862
18,Atasū,48.6814,71.6433,-10.84,83,28,4.68,KZ,1612975069
19,Cap-aux-Meules,47.3821,-61.8597,21.2,63,97,24.16,CA,1612974841
20,Chui,-33.6971,-53.4616,77.16,70,0,10.74,UY,1612974850
21,Beloha,-25.1667,45.05,71.89,88,100,14.23,MG,1612974821
22,Bengkulu,-3.8004,102.2655,75.87,88,99,3.67,ID,1612975074
23,Kavieng,-2.5744,150.7967,82.62,75,62,8.41,PG,1612974818
24,Cherskiy,68.75,161.3,-8.88,85,0,3.06,RU,1612974789
25,Tiznit Province,29.5833,-9.5,59.52,73,31,8.19,MA,1612974827
26,Albany,42.6001,-73.9662,27.0,47,47,4.0,US,1612974915
27,Port Alfred,-33.5906,26.891,77.0,89,38,1.99,ZA,1612974774
28,Pamekasan,-7.1568,113.4746,78.17,86,100,4.16,ID,1612975080
29,Hobart,-42.8794,147.3294,53.01,82,0,5.75,AU,1612975081
30,Lastoursville,-0.8143,12.7287,84.2,70,75,2.26,GA,1612975083
31,Nikolskoye,59.7035,30.7861,9.0,85,75,4.12,RU,1612974828
32,Khatanga,71.9667,102.5,-14.48,85,52,6.89,RU,1612975085
33,Vaini,-21.2,-175.2,77.0,94,20,5.75,TO,1612975086
